"Marca temporal","1. ¿Acostumbra a guardar sus documentos o fotos en alguna plataforma de nube? 
(Un servicio en internet que permite almacenar y acceder a archivos desde cualquier dispositivo)","2. De las siguientes opciones, ¿cuál es la plataforma que más usa?","3. ¿Qué tipo de contenido guarda con mayor frecuencia en la nube?","4. ¿Qué nivel de conocimiento considera que tiene sobre el concepto de ciberseguridad?  ","5. ¿Qué tan bien crees que manejas tú los temas de ciberseguridad? 
(1 = Nada bien, 5 = Muy bien)","6. ¿Con qué periodicidad te llega información sobre seguridad digital, ya sea que la busques tú (cursos, videos, noticias) o que simplemente recibas consejos? ","7. ¿Qué tan seguro te sientes de poder identificar una estafa en línea o un intento de phishing? (Engaño en internet donde los delincuentes se hacen pasar por una empresa confiable para robar datos personales o bancarios.)","8. ¿Qué tan bien puede identificar si sus herramientas de seguridad (antivirus, etc.) están funcionando en sus dispositivos? ","9. ¿Utiliza antivirus u otras herramientas de seguridad digital en sus dispositivos?","10. ¿Qué tipo de conexión a internet utiliza principalmente en su hogar?","11. ¿Qué tan estable considera su conexión a internet?
(1 = Nada estable, 5 = Muy estable)","12. ¿Con qué frecuencia experimenta fallas o interrupciones en su servicio de internet?","13. ¿Cuántas veces al año cambia sus contraseñas personales, de trabajo e institucionales?","14. ¿Utiliza la misma contraseña para todas sus cuentas?","15. ¿Considera usted que es importante actualizar sus contraseñas anualmente?
(1= No importante, 5 =Muy importante)","","","","","",""
"2025/11/18 10:24:24 a.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Alta","3","A veces","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","5","Rara vez","3-5 veces","Rara vez","5","Excelente enfoque para investigar.","Adecuado (10-15 minutos)","No","Sí","Sí","5"
"2025/11/18 10:24:38 a.m. GMT-6","No","","","Bajo","1","A veces","Muy capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","5","Nunca","1-3 veces","Nunca","3","","Adecuado (10-15 minutos)","No","Sí","Sí","5"
"2025/11/18 2:18:14 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Archivos para compartir con otras personas","Alta","4","Frecuentemente","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","4","A veces","3-5 veces","A veces","5","","Adecuado (10-15 minutos)","No","Sí","Sí","4"
"2025/11/18 10:05:42 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Alta","4","Rara vez","Medianamente capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","4","A veces","1-3 veces","A veces","5","","Adecuado (10-15 minutos)","No","Sí","Sí","5"
"2025/11/18 10:14:38 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","5","Rara vez","Medianamente capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","5","A veces","1-3 veces","A veces","5","Fue una exelente encuesta, me intereso mucho ","Adecuado (10-15 minutos)","No","Sí","Sí","5"
"2025/11/18 10:41:43 p.m. GMT-6","Sí","Google foto","Archivos para compartir con otras personas","Media","3","Rara vez","Medianamente capaz","Generalmente puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","4","Rara vez","1-3 veces","Rara vez","4",".","Adecuado (10-15 minutos)","No","Sí","Sí","4"
"2025/11/18 10:42:09 p.m. GMT-6","No","","","Muy bajo","1","Rara vez","Poco capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","3","Rara vez","0 veces","Rara vez","5","","Más corto","No","Sí","Sí","3"
"2025/11/19 11:32:22 a.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Archivos para compartir con otras personas","Muy alta","5","Siempre","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","5","Rara vez","6-10 veces","Nunca","5","","Más corto","No","Sí","Sí","5"
"2025/11/19 9:51:52 p.m. GMT-6","No","","","Media","2","A veces","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","5","A veces","1-3 veces","Frecuentemente","5","","","","","",""
"2025/11/19 9:52:59 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Media","3","A veces","Medianamente capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","2","A veces","1-3 veces","Nunca","5","","","","","",""
