fecha_respuesta,usa_nube,plataforma_nube,contenido_nube,nivel_conocimiento,manejo_ciberseguridad,frecuencia_info_seguridad,reconoce_phishing,identifica_herramientas_seguridad,estado_antivirus,tipo_conexion,estabilidad_conexion,frecuencia_fallas_internet,cambio_contrasenas_anual,reutiliza_contrasenas,importancia_actualizar_contrasenas
2025/11/18 10:24:24 a.m.,Sí,OneDrive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Alta,3,A veces,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,3-5 veces,Rara vez,5.0
2025/11/18 10:24:38 a.m.,No,No aplica,No aplica,Bajo,1,A veces,Muy capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),5,Nunca,1-3 veces,Nunca,3.0
2025/11/18 2:18:14 p.m.,Sí,OneDrive,Documentos de universidad o trabajo;Archivos para compartir con otras personas,Alta,4,Frecuentemente,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,4,A veces,3-5 veces,A veces,5.0
2025/11/18 10:05:42 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Alta,4,Rara vez,Medianamente capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,A veces,1-3 veces,A veces,5.0
2025/11/18 10:14:38 p.m.,Sí,Google Drive,Fotos y videos personales,Media,5,Rara vez,Medianamente capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,5,A veces,1-3 veces,A veces,5.0
2025/11/18 10:41:43 p.m.,Sí,Google foto,Archivos para compartir con otras personas,Media,3,Rara vez,Medianamente capaz,Generalmente puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,4,Rara vez,1-3 veces,Rara vez,4.0
2025/11/18 10:42:09 p.m.,No,No aplica,No aplica,Muy bajo,1,Rara vez,Poco capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,3,Rara vez,0 veces,Rara vez,5.0
2025/11/19 11:32:22 a.m.,Sí,OneDrive,Documentos de universidad o trabajo;Archivos para compartir con otras personas,Muy alta,5,Siempre,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,6-10 veces,Nunca,5.0
2025/11/19 9:51:52 p.m.,No,No aplica,No aplica,Media,2,A veces,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,5,A veces,1-3 veces,Frecuentemente,5.0
2025/11/19 9:52:59 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Media,3,A veces,Medianamente capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,2,A veces,1-3 veces,Nunca,5.0
2025/11/19 9:54:24 p.m.,Sí,Google Drive,Documentos de universidad o trabajo,Media,3,Rara vez,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,A veces,3-5 veces,A veces,4.0
2025/11/19 9:55:27 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Media,3,Frecuentemente,Medianamente capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,3,A veces,1-3 veces,Rara vez,3.0
2025/11/19 9:55:55 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Muy bajo,1,A veces,Medianamente capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,3,A veces,0 veces,Siempre,3.0
2025/11/19 9:56:35 p.m.,No,No aplica,No aplica,Muy alta,3,A veces,Capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Cable coaxial,1,Muy frecuentemente,Más de 10 veces,Siempre,2.0
2025/11/19 9:56:38 p.m.,Sí,OneDrive,Documentos de universidad o trabajo;Fotos y videos personales,Media,3,A veces,Poco capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Satelital,4,A veces,1-3 veces,Frecuentemente,4.0
2025/11/19 9:56:39 p.m.,Sí,iCloud,Fotos y videos personales,Media,3,Rara vez,Capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Rara vez,1-3 veces,Frecuentemente,5.0
2025/11/19 9:56:40 p.m.,Sí,iCloud,Fotos y videos personales;,Muy alta,4,Siempre,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,3,A veces,0 veces,A veces,3.0
2025/11/19 9:57:19 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Media,3,A veces,Capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",No estoy segura,4,A veces,3-5 veces,Frecuentemente,4.0
2025/11/19 9:57:38 p.m.,Sí,Google Drive,Fotos y videos personales,Media,5,Siempre,Poco capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,5,Rara vez,0 veces,Rara vez,5.0
2025/11/19 9:57:39 p.m.,No,No aplica,No aplica,Media,2,Siempre,Muy capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,4,Rara vez,1-3 veces,A veces,5.0
2025/11/19 9:58:00 p.m.,No,No aplica,No aplica,Alta,5,Rara vez,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,1-3 veces,Nunca,4.0
2025/11/19 9:58:55 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Muy alta,3,Siempre,Muy capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,4,Rara vez,1-3 veces,A veces,5.0
2025/11/19 9:58:55 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Alta,4,A veces,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Cable coaxial,5,A veces,0 veces,A veces,3.0
2025/11/19 9:59:08 p.m.,No,No aplica,No aplica,Media,2,Rara vez,Medianamente capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),4,Rara vez,1-3 veces,A veces,4.0
2025/11/19 9:59:13 p.m.,No,No aplica,No aplica,Muy alta,5,Siempre,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,5,A veces,6-10 veces,Rara vez,5.0
2025/11/19 9:59:29 p.m.,Sí,iCloud,Documentos de universidad o trabajo,Media,3,A veces,Poco capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,4,A veces,0 veces,Nunca,4.0
2025/11/19 9:59:48 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Muy alta,5,Nunca,Medianamente capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Frecuentemente,6-10 veces,A veces,5.0
2025/11/19 10:00:11 p.m.,Sí,Google Drive,Fotos y videos personales,Bajo,2,Rara vez,Nada capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,1,Rara vez,Más de 10 veces,Rara vez,5.0
2025/11/19 10:00:22 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Muy bajo,3,A veces,Medianamente capaz,Pocas veces logro identificarlos,"Sí, y están actualizadas",Router,4,Rara vez,6-10 veces,Nunca,3.0
2025/11/19 10:01:20 p.m.,No,No aplica,No aplica,Media,3,Frecuentemente,Medianamente capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,3,A veces,0 veces,Rara vez,4.0
2025/11/19 10:01:55 p.m.,No,No aplica,No aplica,Media,4,Siempre,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Wi-Fi,4,A veces,3-5 veces,A veces,4.0
2025/11/19 10:02:12 p.m.,Sí,iCloud,Fotos y videos personales,Media,2,A veces,Capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),5,A veces,1-3 veces,Nunca,2.0
2025/11/19 10:02:45 p.m.,Sí,OneDrive,Fotos y videos personales,Media,3,Nunca,Muy capaz,Pocas veces logro identificarlos,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),4,Rara vez,1-3 veces,Rara vez,3.0
